Tanggal,Harga_CPO_Rp,Harga_minyak_mentah_USD,Harga_minyak_kedelai_USD,Nilai_tukar_USD_IDR,Harga_minyak_kelapa_Rp
1/5/2021,14912.68,49.93,42.88,13900,22173.87
1/6/2021,15287.69,50.63,43.18,13880,22451.43
1/7/2021,15933.92,50.83,43.28,13890,22855.81
1/8/2021,15751.85,52.24,43.22,13980,22819.58
1/11/2021,15539.08,52.25,42.27,14080,22820.62
1/12/2021,15137.73,53.21,42.33,14120,22943.15
1/13/2021,14567.39,52.91,41.9,14055,22746.46
1/14/2021,14457.47,53.57,42.67,14050,22918.6
1/15/2021,14245.51,52.36,41.21,14010,22524.91
1/19/2021,13903.86,52.98,40.72,14050,21464.18
1/20/2021,13483.86,53.24,41.27,14020,20965.92
1/21/2021,13658.2,53.13,42.15,13980,20461.77
1/22/2021,13912.17,52.27,41.07,14020,20949.52
1/26/2021,14103.79,52.61,42.45,14040,20374.62
1/27/2021,14108.8,52.85,42.96,14035,20615.41
1/28/2021,14377.31,52.34,42.98,14050,21436.45
1/29/2021,14581.56,52.2,43.28,14020,21772.39
2/1/2021,14936.69,53.55,43.5,14010,22638.44
2/2/2021,14859.08,54.76,42.99,14020,21244.99
2/3/2021,14910.1,55.69,43.08,14000,20971.81
2/4/2021,14930.31,56.23,43.49,14010,20767.6
2/5/2021,15357.15,56.85,43.46,14020,20961.45
2/8/2021,15050.99,57.97,44.23,13995,21023.73
2/9/2021,15011.24,58.36,44.97,13990,20869.03
2/10/2021,15674.54,58.68,44.27,13980,21239.08
2/11/2021,14704.85,58.24,44.21,13970,21272.48
2/15/2021,15943.07,60.09,46.24,13910,21173.79
2/16/2021,16177,60.05,45.82,13920,21602.61
2/17/2021,15509.17,61.14,45.38,14010,21826.81
2/18/2021,15713.06,60.52,45.48,14010,21733.74
2/19/2021,15502.22,59.24,46.1,14060,21851.75
2/22/2021,15716.63,61.49,46.43,14110,21949.81
2/23/2021,15587.45,61.67,47.5,14090,22071.45
2/24/2021,15946.57,63.22,49.1,14080,22247.17
2/25/2021,15803.39,63.53,48.67,14080,22115
2/26/2021,15943.46,61.5,48.8,14240,22939.92
3/1/2021,16023.01,60.64,48.24,14250,23370.42
3/2/2021,15787.17,59.75,48.69,14300,23381.86
3/3/2021,15450.75,61.28,48.79,14240,24138.74
3/4/2021,15453.61,63.83,49.7,14260,23842.8
3/5/2021,16020.97,66.09,50.77,14290,24756.85
3/8/2021,16042.16,65.05,51.44,14350,25266.61
3/9/2021,16293.4,64.01,52.4,14390,25723.31
3/10/2021,16240.47,64.44,52.15,14395,25161.69
3/12/2021,16755.3,65.61,53.81,14380,25868.45
3/15/2021,17219.38,65.39,52.05,14395,25953.05
3/16/2021,17062.77,64.8,51.87,14400,24927.85
3/17/2021,16939.99,64.6,51.29,14425,25707.31
3/18/2021,16884.92,60,49.43,14390,24349.72
3/19/2021,16959.9,61.42,49.39,14400,24137.93
3/22/2021,16854.4,61.55,51.04,14400,24264.32
3/23/2021,17304.84,57.76,51.06,14390,23090.11
3/24/2021,17181.5,61.18,51.67,14420,22984.82
3/25/2021,17356.44,58.56,49.75,14420,22999.13
3/26/2021,16842.74,60.97,47.8,14410,22651.26
3/29/2021,16500.95,61.56,48.8,14440,22313.45
3/30/2021,16431.36,60.55,46.37,14470,22706.14
3/31/2021,15665.93,59.16,48.79,14520,22043.72
4/1/2021,16002.34,61.45,48.8,14520,23017.74
4/5/2021,16036.55,58.65,49.57,14510,22948.26
4/6/2021,16021.1,59.33,50.26,14500,22926.15
4/7/2021,16220.48,59.77,49.37,14490,22916.68
4/8/2021,16171.19,59.6,49.79,14530,23666.91
4/9/2021,16336.75,59.32,49.28,14560,23183.59
4/12/2021,16726.16,59.7,47.84,14590,23103.01
4/13/2021,16393.89,60.18,49.22,14600,23749.7
4/14/2021,17577.24,63.15,50.16,14600,23858.22
4/15/2021,17559.24,63.46,50.73,14600,25612.43
4/16/2021,17408.53,63.13,51.87,14560,25877.94
4/19/2021,17563.95,63.38,51.48,14545,25740.13
4/20/2021,17491.61,62.44,52.34,14495,24992.86
4/21/2021,17293.23,61.35,53.87,14525,26671.15
4/22/2021,17788.85,61.43,55.44,14515,29886.48
4/23/2021,18425.57,62.14,55.1,14520,29847.45
4/26/2021,20100.31,61.91,56.38,14480,28759.14
4/27/2021,18054.49,62.94,56.3,14480,28578.23
4/28/2021,18712.94,63.86,56.24,14495,28978.71
4/29/2021,18482.58,65.01,55,14445,26278.99
4/30/2021,18492.04,63.58,57.47,14440,24898.11
5/3/2021,20133.17,64.49,58.43,14445,24578.7
5/4/2021,18427.81,65.69,59.45,14425,24282.79
5/5/2021,18381.96,65.63,59.79,14430,24062.9
5/7/2021,18768.96,64.9,61.23,14280,26510.31
5/10/2021,19255.71,64.92,60.47,14195,34483.93
5/11/2021,18810.65,65.28,61.65,14195,26812.14
5/18/2021,19108.16,65.49,62.43,14270,28742.93
5/19/2021,19125.53,63.36,60.51,14275,28927.22
5/20/2021,18963.01,62.05,59.96,14370,25922.2
5/21/2021,18419.11,63.58,59.52,14350,29572.19
5/24/2021,18212.52,66.05,59.62,14350,29026.25
5/25/2021,15818.07,66.07,60.61,14325,25486.84
5/27/2021,17661.58,66.85,61.65,14285,26394.83
5/28/2021,17174.04,66.32,61.01,14280,25841.32
5/31/2021,16927.91,66.96,66.35,14275,26391.15
6/2/2021,16320.33,68.83,64.96,14275,25303.07
6/3/2021,17130.85,68.81,63.98,14280,25381.94
6/4/2021,16993.7,69.62,66.51,14290,26525.15
6/7/2021,17097.57,69.23,67.24,14260,26560.4
6/8/2021,17448.94,70.05,68.43,14250,26792.3
6/9/2021,16952.1,69.96,67.98,14250,26145.03
6/10/2021,16466.27,70.29,68.03,14245,28114.97
6/11/2021,16764.26,70.91,65.01,14188,27678.22
6/15/2021,14805.18,72.12,62.56,14220,27643.23
6/16/2021,14666.34,72.15,59.06,14235,27213.8
6/18/2021,14355.34,71.64,56.36,14370,24053.96
6/21/2021,14666.51,73.66,58.25,14425,25289.44
6/22/2021,14635.37,73.06,58.5,14400,25856.34
6/23/2021,14554.32,73.08,60.19,14430,26497
6/24/2021,14636.38,73.3,60.89,14435,26816.43
6/25/2021,14316.05,74.05,57.89,14420,26192.06
6/28/2021,14219.18,72.91,60.28,14440,26484.17
6/29/2021,14572.44,72.98,61.81,14480,26929.79
6/30/2021,15138.3,73.47,63.11,14495,27060.04
7/1/2021,14973.18,75.23,62.06,14500,24730.05
7/2/2021,15491.95,75.16,62.87,14530,27100.98
7/6/2021,16309.16,73.37,59.6,14465,26868.38
7/7/2021,16000.14,72.2,60.36,14480,24658.63
7/8/2021,15835.49,72.94,59.82,14520,24658.63
7/9/2021,14979.35,74.56,61.63,14525,24579.5
7/12/2021,16383.49,74.1,63.14,14490,23936.48
7/13/2021,16560.4,75.25,64.31,14462,24314.68
7/14/2021,17465.08,73.13,64.77,14475,25595.24
7/15/2021,17884.94,71.65,65.04,14480,24967.02
